source,variable,period,region,unit,value
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,PRI,Mt CO2/yr,14.2138
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,PRK,Mt CO2/yr,66.3304
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,PRT,Mt CO2/yr,52.0468
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,PRY,Mt CO2/yr,6.3281
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,PSE,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,PYF,Mt CO2/yr,1.9399
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,QAT,Mt CO2/yr,69.3498
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,REU,Mt CO2/yr,5.2358
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,ROU,Mt CO2/yr,81.2103
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,RUS,Mt CO2/yr,1554.4753
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,RWA,Mt CO2/yr,1.8673
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SAU,Mt CO2/yr,481.7302
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SDN,Mt CO2/yr,17.3279
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SEN,Mt CO2/yr,8.1038
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SGP,Mt CO2/yr,47.82
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SGS,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SHN,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SJM,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SLB,Mt CO2/yr,1.3146
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SLE,Mt CO2/yr,1.7314
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SLV,Mt CO2/yr,7.6702
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SMR,Mt CO2/yr,1.1332
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SOM,Mt CO2/yr,1.782
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SPM,Mt CO2/yr,1.1552
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SRB,Mt CO2/yr,53.9911
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SSD,Mt CO2/yr,1.4457
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,STP,Mt CO2/yr,1.234
CEDS-2024,Emissions|CO2|Energy and Industrial Processes,2010,SUR,Mt CO2/yr,2.8685
